sex,bs,n_breed,divorce,age,breed_exp,boldness,mate_boldness,year,last_bs
F,1,2,0,11,2,NA,NA,1994,1
M,0,1,0,13,2,NA,NA,1995,0
M,0.5,2,0,15,3,NA,NA,1997,1
M,0.333333333,3,0,13,3,NA,-0.05122678,1995,0
M,0.571428571,7,0,21,7,NA,0.01440164,2003,1
F,1,5,0,23,6,3.519807,NA,2005,1
F,0.5,2,0,28,8,3.519807,NA,2010,1
F,0.5,2,0,29,9,3.519807,0.5198069,2011,1
F,1,3,1,18,4,NA,NA,2000,1
F,1,2,0,20,5,NA,3.519807,2002,1
M,1,7,0,28,8,0.5198069,NA,2010,1
M,0.5,2,0,29,9,0.5198069,3.519807,2011,1
M,0,1,1,11,2,NA,0.6906681,1993,0
M,1,1,0,14,3,NA,NA,1996,1
M,0.5,2,0,15,4,NA,NA,1997,1
M,1,3,0,17,3,NA,1.224748,1999,1
F,1,3,1,18,4,NA,3.072549,2000,1
F,1,2,0,20,5,NA,NA,2002,1
M,0.666666667,3,0,18,4,NA,NA,2000,1
M,0.666666667,3,0,21,4,NA,NA,2003,1
M,1,1,1,25,5,NA,2.596457,2007,1
M,1,1,1,16,2,NA,NA,1998,1
M,0.666666667,3,1,19,4,NA,NA,2001,0
M,0.5,2,0,20,5,NA,2.07148,2002,1
F,1,2,0,12,2,NA,3.648117,1994,1
M,0.777777778,9,0,25,9,NA,3.426762,2007,1
M,0.75,4,0,15,4,NA,NA,1997,1
M,1,3,1,17,4,NA,2.347735,1999,1
F,0.75,4,0,16,4,NA,2.639392,2000,1
F,0.833333333,6,0,18,6,NA,NA,2002,0
NA,1,2,0,13,2,NA,0.9487732,1997,1
M,0.714285714,7,0,24,7,NA,NA,2008,1
M,1,1,0,16,2,NA,NA,2000,1
M,1,2,0,26,3,NA,1.255941,2010,1
M,0.833333333,6,0,21,7,NA,NA,2005,0
M,1,3,0,25,9,NA,1.255941,2009,1
M,0.875,8,0,26,8,2.347735,3.014402,2010,1
M,0.5,2,0,12,2,NA,NA,1996,0
M,0.555555556,9,0,27,9,2.948773,2.014402,2011,1
M,1,2,0,16,3,NA,NA,2000,1
M,0.5,2,0,17,4,NA,3.250362,2001,0
F,1,2,0,11,2,NA,NA,1995,1
M,0.625,8,0,26,8,NA,3.725945,2010,1
M,0.833333333,6,0,21,7,NA,NA,2005,0
M,0.75,4,0,20,4,NA,NA,2004,1
F,0.5,6,0,17,6,NA,NA,2001,0
M,1,1,0,13,2,0.1157814,NA,1997,1
M,1,4,1,22,6,0.1157814,1.880613,2006,1
M,1,3,0,26,8,0.1157814,1.994645,2010,1
M,0.4,5,0,20,6,1.93669,NA,2004,1
M,0.8,5,0,27,10,1.93669,0.4939376,2011,1
F,1,4,0,19,4,NA,0.6810683,2003,1
F,0.8,5,1,20,6,1.519807,2.004812,2004,1
F,1,1,1,22,7,1.519807,1.232309,2006,1
F,1,2,1,26,9,1.519807,2,2010,1
F,0.333333333,3,0,15,3,NA,NA,1999,0
F,1,5,0,22,5,NA,NA,2006,1
M,1,3,0,15,3,NA,3.280425,1999,1
F,0.777777778,9,0,25,9,NA,NA,2009,1
M,0.75,4,0,19,5,1.648117,NA,2003,0
M,1,1,1,22,6,1.648117,NA,2006,1
M,1,2,0,25,7,1.648117,0.1602343,2009,1
F,0.857142857,7,1,27,8,2.649439,3.109796,2011,1
M,1,3,0,23,4,0.8798374,NA,2007,1
M,1,2,1,27,6,0.8798374,0.5198069,2011,1
M,0,3,0,25,3,NA,NA,2009,0
F,0.714285714,7,1,24,8,1.763279,1.865781,2008,1
F,1,1,1,26,9,1.763279,1.175052,2010,1
F,0.75,4,0,20,5,NA,NA,2004,0
M,1,5,0,27,6,0.963028,NA,2011,1
F,0.333333333,3,0,14,3,NA,NA,1998,1
M,0.8,5,0,22,5,NA,NA,2006,0
M,0,1,1,16,2,NA,1.067314,2000,0
F,1,8,0,26,8,0.8123414,0.944433,2010,1
F,0.75,4,0,15,4,NA,NA,1999,0
F,0.666666667,3,0,15,3,NA,NA,1999,0
M,1,1,0,14,2,NA,NA,1998,1
M,0.833333333,6,0,24,7,NA,1.879837,2008,1
M,0.857142857,7,0,21,7,NA,0.3994386,2006,1
F,0.6,5,0,16,5,NA,1.290092,2001,1
M,1,5,0,20,5,NA,2.743167,2005,1
F,1,8,0,24,8,3.462843,1.639227,2009,1
F,1,2,1,15,3,NA,NA,2000,1
F,0.333333333,3,0,11,3,NA,NA,1996,0
NA,1,2,0,12,2,NA,1.653779,1997,1
M,1,1,1,15,2,NA,0.01440164,2000,1
M,1,2,0,17,3,NA,0.8623088,2002,1
F,1,2,0,10,2,NA,NA,1995,1
NA,0.75,4,0,16,4,NA,1.648117,2001,0
F,0.5,2,0,15,3,NA,NA,2000,1
F,0.333333333,3,0,20,6,NA,NA,2005,1
F,0.5,2,0,21,7,NA,2.639392,2006,1
F,0,1,0,12,2,1.880613,NA,1997,0
F,1,4,1,20,6,1.880613,0.1157814,2005,1
F,1,3,0,24,8,1.880613,2.004812,2009,1
F,1,3,0,15,3,NA,NA,2000,1
M,0.75,8,0,22,8,NA,2.897859,2007,1
M,1,1,0,15,2,NA,NA,2000,1
M,0.666666667,3,0,19,3,NA,1.109796,2004,1
F,1,5,0,22,5,NA,1.493024,2007,1
F,0.833333333,6,0,18,6,NA,NA,2003,0
F,1,4,0,20,5,NA,NA,2005,1
M,0.9,10,0,26,10,0.2988449,0.2473219,2011,1
F,0,1,0,13,2,2.032871,NA,1998,0
F,0.857142857,7,0,25,8,2.032871,0.2559408,2010,1
F,1,4,0,14,4,NA,NA,1999,1
F,0.666666667,3,0,12,3,NA,NA,1997,1
M,0.75,8,0,26,8,2.546504,3.648117,2011,1
M,1,10,0,25,10,1.79312,3.087776,2010,1
F,0.666666667,3,0,21,3,NA,NA,2006,0
NA,0.5,2,0,12,2,NA,NA,1997,0
F,1,8,0,26,8,2.072549,2.623425,2011,1
M,1,2,0,21,3,1.484405,NA,2006,1
M,1,3,0,25,5,1.484405,0.09314808,2010,1
F,0.8,10,0,26,10,3.297429,2.693279,2011,1
M,1,2,0,23,2,NA,1.003159,2008,1
M,0.8,5,0,22,6,0.9713599,NA,2007,1
M,0.75,4,0,26,9,0.9713599,3.362309,2011,1
